case_id,event_id,order,activity,ingredient
305,0,0.0,add,butter
305,1,0.0,blend,butter
305,2,0.0,become,butter
305,3,0.0,form,butter
305,4,0.0,add,flour
305,5,0.0,blend,flour
305,6,0.0,become,flour
305,7,0.0,form,flour
305,8,0.0,add,butter
305,9,0.0,blend,butter
305,10,0.0,become,butter
305,11,0.0,form,butter
305,12,0.0,add,flour
305,13,0.0,blend,flour
305,14,0.0,become,flour
305,15,0.0,form,flour
305,16,6.576923076923077,add,water
305,17,6.576923076923077,ensure,water
305,18,6.576923076923077,use,water
305,19,6.576923076923077,add,flour
305,20,6.576923076923077,ensure,flour
305,21,6.576923076923077,use,flour
305,22,6.576923076923077,add,water
305,23,6.576923076923077,ensure,water
305,24,6.576923076923077,use,water
305,25,26.307692307692307,prepare,butter
305,26,26.307692307692307,melt,butter
305,27,26.307692307692307,begin,butter
305,28,32.88461538461539,add,apple
305,29,32.88461538461539,cook,apple
305,30,32.88461538461539,begin,apple
305,31,32.88461538461539,soften,apple
305,32,39.46153846153847,combine,lemon
305,33,39.46153846153847,combine,sugar
305,34,39.46153846153847,combine,comfort
305,35,39.46153846153847,combine,cinnamon
305,36,46.03846153846155,add,apple
305,37,46.03846153846155,cook,apple
305,38,46.03846153846155,cover,apple
305,39,46.03846153846155,add,apple
305,40,46.03846153846155,cook,apple
305,41,46.03846153846155,cover,apple
305,42,46.03846153846155,add,sugar
305,43,46.03846153846155,cook,sugar
305,44,46.03846153846155,cover,sugar
305,45,65.76923076923079,use,flour
305,46,65.76923076923079,remove,flour
305,47,65.76923076923079,unwrap,flour
305,48,85.50000000000003,butter,butter
305,49,85.50000000000003,roll,butter
305,50,85.50000000000003,lift,butter
305,51,85.50000000000003,center,butter
305,52,98.65384615384619,fill,apple
305,53,98.65384615384619,use,apple
305,54,98.65384615384619,slot,apple
305,55,98.65384615384619,drain,apple
305,56,98.65384615384619,fill,apple
305,57,98.65384615384619,use,apple
305,58,98.65384615384619,slot,apple
305,59,98.65384615384619,drain,apple
305,60,111.80769230769235,brush,egg
305,61,124.96153846153851,cover,apple
305,62,144.6923076923077,brush,egg
305,63,144.6923076923077,bake,egg
305,64,157.84615384615384,serve,ice
3136,65,3.3333333333333335,use,salt
3136,66,3.3333333333333335,use,flour
3136,67,6.666666666666667,use,butter
3136,68,6.666666666666667,use,lard
3136,69,10.0,cut,flour
